source,org-name,prefix_root,prefix,created,netname,org,mnt-by,last-modified,exact_origin,country_root,country
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.21.0/24,,internautas_system_ca,,CIL1-MNT LARUS-SERVICE-MNT,,AS272092,SC,VE
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.28.0/24,,Antbox_Network_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138995,SC,TW
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.29.0/24,,Antbox_Network_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138995,SC,TW
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.30.0/24,,Antbox_Network_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138995,SC,TW
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.31.0/24,,Antbox_Network_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138995,SC,TW
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.32.0/24,,ADA_Digital_Global_Inc,,CIL1-MNT LARUS-SERVICE-MNT,,AS133522,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.33.0/24,,ADA_Digital_Global_Inc,,CIL1-MNT LARUS-SERVICE-MNT,,AS133522,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.34.0/24,,ADA_Digital_Global_Inc,,CIL1-MNT LARUS-SERVICE-MNT,,AS133522,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.35.0/24,,ADA_Digital_Global_Inc,,CIL1-MNT LARUS-SERVICE-MNT,,AS133522,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.36.0/24,,ADA_Digital_Global_Inc,,CIL1-MNT LARUS-SERVICE-MNT,,AS133522,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.37.0/24,,ADA_Digital_Global_Inc,,CIL1-MNT LARUS-SERVICE-MNT,,AS133522,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.38.0/24,,ADA_Digital_Global_Inc,,CIL1-MNT LARUS-SERVICE-MNT,,AS133522,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.39.0/24,,ADA_Digital_Global_Inc,,CIL1-MNT LARUS-SERVICE-MNT,,AS133522,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.40.0/24,,ADA_Digital_Global_Inc,,CIL1-MNT LARUS-SERVICE-MNT,,AS133522,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.216.0/24,,GRAND_UNICOM_CORP,,CIL1-MNT LARUS-SERVICE-MNT,,AS141210,SC,PH
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.217.0/24,,GRAND_UNICOM_CORP,,CIL1-MNT LARUS-SERVICE-MNT,,AS141210,SC,PH
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.219.0/24,,NB_NETWORKS_GROUP_LLC,,CIL1-MNT LARUS-SERVICE-MNT,,AS21859,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.232.0/24,,Yisu_Cloud_Ltd,,CIL1-MNT LARUS-SERVICE-MNT,,AS138152,SC,JP
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.233.0/24,,Yisu_Cloud_Ltd,,CIL1-MNT LARUS-SERVICE-MNT,,AS138152,SC,JP
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.234.0/24,,Yisu_Cloud_Ltd,,CIL1-MNT LARUS-SERVICE-MNT,,AS138152,SC,JP
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.235.0/24,,Yisu_Cloud_Ltd,,CIL1-MNT LARUS-SERVICE-MNT,,AS138152,SC,JP
