Unnamed: 0,prefix,provider,origin,time,as_path,scrubber
314,69.10.42.0/24,396998,19318,1733218858,"['212483', '396998', '19318']",396998
315,69.10.42.0/24,396998,19318,1733218858,"['212483', '396998', '19318']",396998
316,69.10.42.0/24,396998,19318,1733218858,"['205206', '1299', '3257', '396998', '19318']",396998
317,69.10.42.0/24,396998,19318,1733218858,"['212483', '396998', '19318']",396998
318,69.10.42.0/24,396998,19318,1733218858,"['212483', '396998', '19318']",396998
319,69.10.42.0/24,396998,19318,1733218858,"['14907', '1299', '3257', '396998', '19318']",396998
320,69.10.42.0/24,396998,19318,1733218858,"['14907', '1299', '3257', '396998', '19318']",396998
321,69.10.42.0/24,396998,19318,1733218858,"['8455', '1299', '3257', '396998', '19318']",396998
322,69.10.42.0/24,396998,19318,1733218858,"['6233', '3214', '396998', '19318']",396998
323,69.10.42.0/24,396998,19318,1733218858,"['39351', '396998', '19318']",396998
324,69.10.42.0/24,396998,19318,1733218858,"['399580', '6939', '396998', '19318']",396998
325,69.10.42.0/24,396998,19318,1733218858,"['513', '6730', '6730', '6830', '3257', '396998', '19318']",396998
326,69.10.42.0/24,396998,19318,1733218858,"['29222', '1299', '3257', '396998', '19318']",396998
327,69.10.42.0/24,396998,19318,1733218858,"['29222', '1299', '3257', '396998', '19318']",396998
328,69.10.42.0/24,396998,19318,1733218858,"['15547', '3303', '3257', '396998', '19318']",396998
329,69.10.42.0/24,396998,19318,1733218858,"['6730', '6830', '3257', '396998', '19318']",396998
330,69.10.42.0/24,396998,19318,1733218858,"['47147', '1299', '3257', '396998', '19318']",396998
331,69.10.42.0/24,396998,19318,1733218858,"['47147', '1299', '3257', '396998', '19318']",396998
332,69.10.42.0/24,396998,19318,1733218858,"['8218', '6461', '3257', '396998', '19318']",396998
333,69.10.42.0/24,396998,19318,1733218858,"['40994', '1299', '1299', '1299', '1299', '3257', '396998', '19318']",396998
334,69.10.42.0/24,396998,19318,1733218858,"['40994', '3257', '396998', '19318']",396998
335,69.10.42.0/24,396998,19318,1733218858,"['40994', '3257', '396998', '19318']",396998
336,69.10.42.0/24,396998,19318,1733218858,"['47692', '33891', '33891', '33891', '33891', '33891', '1299', '3257', '396998', '19318']",396998
337,69.10.42.0/24,396998,19318,1733218858,"['47692', '3356', '3356', '3356', '3356', '3356', '3257', '396998', '19318']",396998
338,69.10.42.0/24,396998,19318,1733218858,"['47692', '3356', '3356', '3356', '3356', '3356', '3257', '396998', '19318']",396998
339,69.10.42.0/24,396998,19318,1733218858,"['51184', '1764', '1299', '3257', '396998', '19318']",396998
340,69.10.42.0/24,396998,19318,1733218858,"['51184', '1764', '1299', '3257', '396998', '19318']",396998
341,69.10.42.0/24,396998,19318,1733218858,"['51184', '1764', '3257', '396998', '19318']",396998
342,69.10.42.0/24,396998,19318,1733218858,"['51184', '1764', '3257', '396998', '19318']",396998
343,69.10.42.0/24,396998,19318,1733218858,"['8218', '6461', '3257', '396998', '19318']",396998
344,69.10.42.0/24,396998,19318,1733218858,"['47692', '2914', '3257', '396998', '19318']",396998
345,69.10.42.0/24,396998,19318,1733218858,"['6667', '1299', '3257', '396998', '19318']",396998
