,Unnamed: 0.1,Unnamed: 0,target_ip,nr_attacker_ips,nr_attacker_ports,nr_target_ports,nr_packets,nr_bytes,max_ppm,start_posix_time,end_posix_time,asn,country-code,continent-code,date
4685744,3962197,6628,208.74.121.85,1,15,7,147,8820,40,1626197247,1626197498,33522,US,,2021-07-13
4685757,3962210,6641,208.74.121.86,1,15,7,148,8880,40,1626197928,1626198179,33522,US,,2021-07-13
4685771,3962224,6655,208.74.123.2,1,15,7,148,8880,40,1626198382,1626198632,33522,US,,2021-07-13
4685784,3962237,6668,208.74.123.3,1,15,7,148,8880,40,1626198155,1626198407,33522,US,,2021-07-13
4685797,3962250,6681,209.120.234.218,193,2,1,193,7720,50,1626192005,1626192294,3257,CA,,2021-07-13
4685800,3962253,6684,209.15.13.136,8745,7651,1,25993,1368544,11091,1626192056,1626192288,13768,CA,,2021-07-13
4685817,3962270,6701,209.97.178.154,2230,2187,1,1057,63396,1283,1626197974,1626198158,14061,US,,2021-07-13
4685826,3962279,6710,210.13.110.60,681,3,783,791,31640,179,1626192000,1626192299,9929,CN,AS,2021-07-13
4685836,3962289,6720,210.13.110.61,673,3,778,787,31480,177,1626192000,1626192299,9929,CN,AS,2021-07-13
4685875,3962328,6759,212.156.189.19,12,28,1,91,3640,31,1626195975,1626198092,9121,TR,EU,2021-07-13
4685889,3962342,6773,212.70.65.100,1784,1761,1,1784,110202,381,1626192000,1626192299,16174,GB,EU,2021-07-13
4685917,3962370,6801,213.198.67.114,1,24,3,172,8944,60,1626192001,1626192299,40676,ES,EU,2021-07-13
4685923,3962376,6807,216.131.89.15,1578,1,1,773,37104,1384,1626197056,1626197120,33438,NL,EU,2021-07-13
4685935,3962388,6819,216.239.32.116,2,7,1,61,3160,39,1626192128,1626192252,15169,US,,2021-07-13
4685936,3962389,6820,216.239.36.126,11,25,1,119,4760,38,1626196237,1626198134,15169,US,,2021-07-13
4685958,3962411,6842,216.4.95.61,566,3,1781,1803,72120,478,1626192000,1626192299,2828,US,,2021-07-13
4685968,3962421,6852,216.4.95.62,750,3,3510,3630,145200,882,1626192000,1626192299,2828,US,,2021-07-13
4685975,3962428,6859,216.58.198.68,1,5,1,10,600,55,1626197667,1626197743,15169,US,,2021-07-13
4686018,3962471,6902,216.58.223.100,31,43,1,207,8280,63,1626192002,1626192299,15169,US,,2021-07-13
4686038,3962491,6922,216.58.223.110,18,31,2,200,8000,91,1626192000,1626192299,15169,US,,2021-07-13
4686072,3962525,6956,216.58.223.78,22,25,2,125,5000,39,1626192003,1626192295,15169,US,,2021-07-13
